distA,distB
2.834415494,0.816384678
2.658694964,0.754757422
2.64214963,-0.970796515
1.30700078,-0.571833537
2.293823479,0.449758683
1.442420028,0.848447174
2.557860478,0.130270382
1.30371721,-0.639851624
1.386068596,0.195923341
1.270128384,0.816784074
2.647516498,-0.137784291
1.636985249,-0.550934637
2.909304338,-0.794524672
2.860984004,0.555329595
1.91777363,0.484237771
1.197794092,-0.899712232
1.359094841,-0.71612261
1.14183755,-0.422762268
2.71970282,0.824920068
1.32481752,-0.261697739
1.113713601,-0.058554141
1.72191849,-0.243090047
2.492856431,0.977753373
1.278525849,-0.179233402
1.798480057,-0.644093101
2.129045524,0.717401244
2.496676661,-0.848871534
2.409814146,-0.73986226
2.330266433,-0.297691973
1.654386303,-0.564680991
2.281654143,-0.021486309
1.027831049,0.565460664
1.979088434,-0.323381712
2.393417038,0.21696271
1.809639207,0.714133746
2.892411077,0.528620785
2.161399485,-0.294107691
2.232672411,-0.061884431
1.939911125,0.560604467
1.066111991,0.098647507
1.945815451,0.71578508
2.796926614,0.23497847
2.77606783,0.977237634
1.007605737,-0.274421716
2.568890811,0.92033006
2.396074055,-0.876705665
2.87200603,0.507093842
1.430308915,0.037854064
2.312169806,-0.722424327
1.002679955,-0.003790982
2.784888011,0.407572857
2.726537418,0.87857765
2.60057223,-0.202251539
2.879021404,0.408661015
1.503442791,0.832858611
2.335684827,-0.614481582
2.940178816,0.879129267
1.523917503,0.47516223
1.387577436,-0.019943469
2.150162027,0.253260267
2.496487504,0.212666004
2.343068089,-0.180065883
1.619615453,0.723775496
1.838153681,-0.124421204
2.887147292,0.990189262
1.874647132,0.805942068
1.303890159,0.925189152
1.46348894,-0.467644271
2.439070489,-0.361170458
1.405104681,0.77371778
1.756457955,-0.382274495
2.045335941,0.131300161
2.426835775,0.894024687
1.431035082,0.003358584
2.034239398,-0.962207146
2.844527068,-0.968802634
1.076615314,0.02873553
2.824780936,-0.628047716
1.298069028,-0.281462578
1.6193889,0.817897038
2.821489831,0.255389877
2.534492877,0.592539524
2.82905342,0.30423358
2.955219874,0.341258912
1.695157102,0.495062998
2.208962229,-0.116798194
1.061649017,-0.805638885
2.743927323,0.867229966
1.458102156,0.20758043
2.292750968,-0.610924301
1.270350538,0.491881375
1.666977638,-0.753089753
2.564870562,0.645758748
2.463292699,0.623814429
2.194495176,0.036901589
1.38958771,-0.65504985
2.054620989,-0.716077084
1.215621505,-0.858477223
2.314328544,-0.56660183
2.906962668,0.935073741
